vod_id,clip_start,clip_end,avg_prob,max_prob,num_segments
vod_003,752.0,773.0,0.953215,0.994159,3
vod_003,877.0,888.0,0.857652,0.857652,1
vod_003,1032.0,1043.0,0.772167,0.772167,1
vod_003,1077.0,1093.0,0.932804,0.985934,2
vod_003,1102.0,1133.0,0.857443,0.977151,5
vod_003,1207.0,1233.0,0.894547,0.998247,3
vod_003,1342.0,1363.0,0.990946,0.997237,3
vod_003,1367.0,1378.0,0.876363,0.876363,1
vod_003,1432.0,1448.0,0.887829,0.997263,2
vod_003,1462.0,1473.0,0.990723,0.990723,1
vod_003,1757.0,1768.0,0.961908,0.961908,1
vod_003,1777.0,1833.0,0.906417,0.996652,8
vod_003,1947.0,1983.0,0.831039,0.976579,5
vod_003,2007.0,2028.0,0.897692,0.992155,3
vod_003,2052.0,2068.0,0.842168,0.972535,2
vod_003,2072.0,2083.0,0.764068,0.764068,1
vod_003,2167.0,2178.0,0.902415,0.902415,1
vod_003,2357.0,2413.0,0.883967,0.998408,9
vod_003,2442.0,2453.0,0.847606,0.847606,1
vod_003,2552.0,2603.0,0.899118,0.999419,8
