vod_id,clip_start,clip_end,avg_prob,max_prob,num_segments
vod_003,412.0,428.0,0.785226,0.863614,2
vod_003,442.0,453.0,0.706277,0.706277,1
vod_003,537.0,553.0,0.628608,0.720309,2
vod_003,572.0,583.0,0.586105,0.586105,1
vod_003,727.0,738.0,0.623415,0.623415,1
vod_003,757.0,773.0,0.869864,0.931644,2
vod_003,882.0,913.0,0.767841,0.925995,5
vod_003,957.0,968.0,0.636645,0.636645,1
vod_003,1022.0,1043.0,0.720896,0.910912,3
vod_003,1052.0,1073.0,0.813715,0.908685,2
vod_003,1077.0,1128.0,0.795178,0.943829,8
vod_003,1207.0,1233.0,0.856879,0.937054,4
vod_003,1272.0,1283.0,0.662114,0.662114,1
vod_003,1342.0,1363.0,0.961139,0.972665,3
vod_003,1367.0,1378.0,0.610432,0.610432,1
vod_003,1407.0,1418.0,0.816119,0.816119,1
vod_003,1427.0,1443.0,0.822976,0.903107,2
vod_003,1447.0,1473.0,0.803012,0.980894,3
vod_003,1537.0,1548.0,0.713952,0.713952,1
vod_003,1552.0,1563.0,0.753876,0.753876,1
vod_003,1627.0,1638.0,0.661955,0.661955,1
vod_003,1672.0,1683.0,0.835015,0.835015,1
vod_003,1757.0,1818.0,0.893599,0.98908,10
vod_003,1822.0,1838.0,0.837984,0.90335,2
vod_003,1852.0,1863.0,0.570067,0.570067,1
vod_003,1887.0,1903.0,0.675496,0.709378,2
vod_003,1947.0,1993.0,0.673028,0.922062,8
vod_003,2002.0,2043.0,0.80336,0.937562,6
vod_003,2052.0,2073.0,0.748623,0.980078,3
vod_003,2122.0,2138.0,0.798429,0.917566,2
vod_003,2147.0,2158.0,0.808353,0.808353,1
vod_003,2167.0,2188.0,0.807866,0.919823,3
vod_003,2202.0,2213.0,0.854389,0.854389,1
vod_003,2217.0,2263.0,0.729666,0.879881,6
vod_003,2312.0,2328.0,0.776406,0.93938,2
vod_003,2352.0,2413.0,0.833054,0.954912,10
vod_003,2422.0,2433.0,0.552453,0.552453,1
vod_003,2437.0,2448.0,0.585128,0.585128,1
vod_003,2512.0,2523.0,0.684542,0.684542,1
vod_003,2527.0,2538.0,0.785393,0.785393,1
vod_003,2557.0,2603.0,0.851893,0.994277,8
